MatchPointShadow,IDname1,IDname3,IDname2,IDname4,BattMonAHefficiency,BatteryTempCompValue,CTime0b,CTime0a,DaysBtwnBulkAbs,zUI_PVVoltsIn_OutputVbatt,RemoteMenuMode,Aux2_a2d_d2a,y8unit_sw_mac3,StatusRoll,ReasonForReset,y2unit_sw_date_year,ForceFlagBitsB,ForceFlagBitsA,Aux1VoltsHiPv,WizBanJrNumeratorSS,GeneralPurpose,DayLogCombCatIndex,Voc_Qualify_Timer_1ms_2,xreserve_4263,zUI_PCBtemperature,xreserve_4267,xreserve_4209,xreserve_4193,zUI_FETtemperature,xreserve_4228,zUI_InV_dispavgVpv,IbattDisplayS,PreVoc,zUI_BaTTtemperature,MaxInputCurrent,y6unit_sw_mac1,WizBanJrAmpHourNEGativeA,MpptMode,VocRD,yUI_Ibatt,ModusControl,BatteryTempPassed,ComboChargeState,WizBanJrAmpHourNEGativeB,WindNumberOfPoes,MppPercentVoc,xreserve_4235,xreserve_4234,FloatVoltagSetPoint,WizBanJrRawCrcAndtemp,xreserve_4230,xreserve_4233,xreserve_4232,wbitAmpHourNetB,CTime2a,xreserve_4140,WindTableToUse,VariMax,SiestaTime,EqualizeIntervalDays,dateOnPi,zUI_BattV_dispavgVbatt,iFlagsROHigh,EqualizeReTryDays,Aux2VoltsHiPv,xreserve_4243,yVbattNominal,yUI_InputVpv,xreserve_4227,xreserve_4225,xreserve_4222,xreserve_4223,xreserve_4188,ReasonForResting,xreserve_4185,xreserve_4184,zAmpHours,xreserve_4364,LifetimeAmpHours,xreserve_4229,PWM_ReadOnly,unitDeviceIdB,AbsorbTime,CTime1b,MinLogCombCatIndex,Aux1VoltsLoPv,BattMonSOC,ClipperCmdVolts,unitDeviceIdA,Aux1VolsLoRel,MinimiumAbsorbTime,AbsorbSetPointVoltag,Aux1VoltsHiRel,ClassicFmePassedBits,BattMonVolts,xreserve_4258,WizBanJrAmpHourNETB,EndAmpsSocMBaddress,Aux1DelayT,VbattOffset,EndingAmpsTimerSec,Voc_Qualify_Timer_1ms_1,EqualizeTime,iFlagsROLow,xreserve_4219,Aux2VoltasHiAbs,xreserve_4194,xreserve_4195,xreserve_4196,NiteMinutesNoPwr,dateOnDevice,y9wbitAmpHourNetA,VpvOffset,BatteryOuputCurrentLimit,WizBangRxBufferTempSh4,WizBangRxBufferTempSh3,WizBangRxBufferTempSh2,WizBangRxBufferTempSh1,AntiClickSenstvt,y3unit_sw_date_month_day,xreserve_4170,zyEndingAmps,Aux1VoltasLoAbs,RebulkTimerSec,Aux1HoldT,RestartTimers,xreserve_4105,WizBanJrCurrent32Signed,NegativeCurrerntAdj,LogValueRead,PvInputCurrent,RestartTimerms,VocLastMeasured,MinVpvTurOn,WizBanJrRawCurrent,LifetimeKwHours1,LifetimeKwHours2,_id,ip2,ip1,xreserve_4281,VpvTargetRd,yEndingSoc,ArcFaultSensitvty,VpvB4TurnOff,SweepIntervaSecs,kWHours,xreserve_4242,RebulkVolts,SweepDepth,VpvTargetWr,SlidingCurrentLimit,FloatTimeTodaySeconds,xreserve_4171,y7unit_sw_mac2,Aux12,zUI_InWatts_Watts,Aux2VoltsHiRel,yVbattRegSetPtTmpComp,EquilizeVoltageSetPOint,AbosrbTime,Aux1VoltsHiAbs,IpvMinusRawPVNegativeCurrent,NoDoubleClickTimer,xreserve_4208,MinSwpVoltage,WizBanJrAmpHourNETA,xreserve_4206,CTime1a,HighestVinputLog,MaximumBatteryTemperatureCompensationVoltage,MinuteLogIntervalSec,xreserve_4144,EnableFlags2,EnableFlags3,MppWLast,LEDmode,WizBanJrAmpHourPOSitiveA,Aux2VoltsLoRel,xreserve_4270,InfoFlagBits2,InfoFlagBits1,flagsRDA,flagsRDB,y4InfoFlagsBits,modbus_Port_registry,WizBanJrCmdS,SietstaAbortVocAdj,xreserve_4274,xreserve_4278,USBcommMODE,y1unit_id,xreserve_4273,Aux2PwmVwidth,WizBanJrAmpHourPOSitiveB,EnableFlagsBits,MinimumBatteryTemperatrueCompensationVoltage
0,19523,18771,21313,67,41,50,1299,18,0,137,0,0,24605,29367,11,2015,0,0,1400,0,0,0,231,30,522,38,0,0,440,48,630,13,656,266,990,29412,0,11,664,53,0,32768,1283,0,0,0,0,528,136,0,584,629,0,0,478,13,0,357,23670,0,2016-06-04T19:00:03.203Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15059,319,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,59813,3600,526,65522,900,0,0,0,0,2016-07-05T03:00:18Z,0,0,960,0,0,0,0,50,2839,18,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066803,26370,6572,0,584,5,202,0,3,2,15199,80,10,1347,960,13863,0,3840,20993,17,50,136,143,7200,600,0,15059,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,22,0,137,0,0,24605,36864,11,2015,0,0,1400,0,0,0,231,28,522,39,0,0,439,48,629,15,656,266,990,29412,0,11,664,54,0,32768,1283,0,0,0,0,528,136,0,584,629,0,0,478,15,0,357,23674,0,2016-06-04T19:00:07.291Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15063,320,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,63899,3600,526,65521,900,0,0,0,0,2016-07-05T03:00:22Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066807,26370,6572,0,584,5,202,0,3,2,15203,80,10,1347,960,13867,0,3840,20993,20,50,136,143,7200,600,0,15063,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,26,0,137,0,0,24605,0,11,2015,0,0,1400,0,0,0,232,28,522,38,0,0,440,48,629,15,656,266,990,29412,0,11,664,55,0,32768,1283,0,0,0,0,528,136,0,584,629,0,0,478,15,0,357,23678,0,2016-06-04T19:00:11.222Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15067,323,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,2290,3600,526,65521,900,0,0,0,0,2016-07-05T03:00:26Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066811,26370,6572,0,584,5,202,0,3,2,15207,80,10,1347,960,13871,0,3840,20993,20,50,136,143,7200,600,0,15067,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,30,0,137,0,0,24605,9650,11,2015,0,0,1400,0,0,0,232,26,522,39,0,0,439,48,628,15,656,266,990,29412,0,11,664,55,0,32768,1283,0,0,0,0,528,136,0,584,628,0,0,478,15,0,357,23682,0,2016-06-04T19:00:15.191Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15071,324,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,6257,3600,526,65520,900,0,0,0,0,2016-07-05T03:00:30Z,0,0,960,0,0,0,0,50,2839,19,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066815,26370,6572,0,584,5,202,0,3,2,15211,80,10,1347,960,13875,0,3840,20993,20,50,136,143,7200,600,0,15071,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,34,0,137,0,0,24605,18400,11,2015,0,0,1400,0,0,0,232,30,522,39,0,0,439,48,629,13,656,266,990,29412,0,11,664,52,0,32768,1284,0,0,0,0,528,136,0,584,629,0,0,478,13,0,357,23686,0,2016-06-04T19:00:19.209Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15075,317,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,10273,3600,526,65524,900,0,0,0,0,2016-07-05T03:00:34Z,0,0,960,0,0,0,0,50,2839,17,0,100,0,10,1,0,0,8,0,3,1,668,162,0,21,0,1465066819,26370,6572,0,584,5,202,0,3,2,15215,80,10,1347,960,13879,0,3840,20993,17,50,136,143,7200,600,0,15075,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,38,0,137,0,0,24605,24576,11,2015,0,0,1400,0,0,0,232,29,522,38,0,0,439,48,629,15,656,266,990,29412,0,11,664,55,0,32768,1284,0,0,0,0,528,136,0,584,629,0,0,478,15,0,101,23690,0,2016-06-04T19:00:23.213Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15079,322,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,14275,3600,526,65520,900,0,0,0,0,2016-07-05T03:00:38Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066823,26370,6572,0,584,5,202,0,3,2,15219,80,10,1347,960,13883,0,3840,20993,20,50,136,143,7200,600,0,15079,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,42,0,137,0,0,24605,32829,11,2015,0,0,1400,0,0,0,232,28,522,38,0,0,440,48,628,16,656,266,990,29412,0,11,664,54,0,32768,1284,0,0,0,0,528,136,0,584,628,0,0,478,16,0,101,23694,0,2016-06-04T19:00:27.209Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15083,322,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,18269,3600,526,65520,900,0,0,0,0,2016-07-05T03:00:42Z,0,0,960,0,0,0,0,50,2839,22,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066827,26370,6572,0,584,5,202,0,3,2,15223,80,10,1347,960,13887,0,3840,20993,21,50,136,143,7200,600,0,15083,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,46,0,137,0,0,24605,40960,11,2015,0,0,1400,0,0,0,232,28,522,38,0,0,439,48,629,15,656,266,990,29412,0,11,664,55,0,32768,1284,0,0,0,0,528,136,0,584,629,0,0,478,15,0,101,23698,0,2016-06-04T19:00:31.221Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15087,323,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,22278,3600,526,65521,900,0,0,0,0,2016-07-05T03:00:46Z,0,0,960,0,0,0,0,50,2839,19,0,100,0,10,1,0,0,8,0,4,1,668,164,0,21,0,1465066831,26370,6572,0,584,5,202,0,3,2,15227,80,10,1347,960,13891,0,3840,20993,20,50,136,143,7200,600,0,15087,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,50,0,137,0,0,24605,5554,11,2015,0,0,1400,0,0,0,232,29,522,38,0,0,440,48,628,13,656,266,990,29412,0,11,664,54,0,32768,1283,0,0,0,0,528,136,0,584,628,0,0,478,13,0,357,23701,0,2016-06-04T19:00:35.187Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15090,320,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,26242,3600,526,65521,900,0,0,0,0,2016-07-05T03:00:50Z,0,0,960,0,0,0,0,50,2839,18,0,100,0,10,1,0,0,8,0,4,1,668,161,0,21,0,1465066835,26370,6572,0,584,5,202,0,3,2,15230,80,10,1347,960,13895,0,3840,20993,17,50,136,143,7200,600,0,15090,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1299,54,0,137,0,0,24605,12288,11,2015,0,0,1400,0,0,0,232,28,522,38,0,0,440,48,628,14,656,267,990,29412,0,11,664,54,0,32768,1283,0,0,0,0,528,136,0,584,628,0,0,478,14,0,357,23705,0,2016-06-04T19:00:39.192Z,137,0,0,1400,180,12,628,40,3,0,65532,0,5,0,95,14,0,0,15094,320,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,30245,3600,526,65521,900,0,0,0,0,2016-07-05T03:00:54Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465066839,26370,6572,0,584,5,202,0,3,2,15234,80,10,1347,960,13899,0,3840,20993,19,50,136,143,7200,600,0,15094,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
