MatchPointShadow,IDname1,IDname3,IDname2,IDname4,BattMonAHefficiency,BatteryTempCompValue,CTime0b,CTime0a,DaysBtwnBulkAbs,zUI_PVVoltsIn_OutputVbatt,RemoteMenuMode,Aux2_a2d_d2a,y8unit_sw_mac3,StatusRoll,ReasonForReset,y2unit_sw_date_year,ForceFlagBitsB,ForceFlagBitsA,Aux1VoltsHiPv,WizBanJrNumeratorSS,GeneralPurpose,DayLogCombCatIndex,Voc_Qualify_Timer_1ms_2,xreserve_4263,zUI_PCBtemperature,xreserve_4267,xreserve_4209,xreserve_4193,zUI_FETtemperature,xreserve_4228,zUI_InV_dispavgVpv,IbattDisplayS,PreVoc,zUI_BaTTtemperature,MaxInputCurrent,y6unit_sw_mac1,WizBanJrAmpHourNEGativeA,MpptMode,VocRD,yUI_Ibatt,ModusControl,BatteryTempPassed,ComboChargeState,WizBanJrAmpHourNEGativeB,WindNumberOfPoes,MppPercentVoc,xreserve_4235,xreserve_4234,FloatVoltagSetPoint,WizBanJrRawCrcAndtemp,xreserve_4230,xreserve_4233,xreserve_4232,wbitAmpHourNetB,CTime2a,xreserve_4140,WindTableToUse,VariMax,SiestaTime,EqualizeIntervalDays,dateOnPi,zUI_BattV_dispavgVbatt,iFlagsROHigh,EqualizeReTryDays,Aux2VoltsHiPv,xreserve_4243,yVbattNominal,yUI_InputVpv,xreserve_4227,xreserve_4225,xreserve_4222,xreserve_4223,xreserve_4188,ReasonForResting,xreserve_4185,xreserve_4184,zAmpHours,xreserve_4364,LifetimeAmpHours,xreserve_4229,PWM_ReadOnly,unitDeviceIdB,AbsorbTime,CTime1b,MinLogCombCatIndex,Aux1VoltsLoPv,BattMonSOC,ClipperCmdVolts,unitDeviceIdA,Aux1VolsLoRel,MinimiumAbsorbTime,AbsorbSetPointVoltag,Aux1VoltsHiRel,ClassicFmePassedBits,BattMonVolts,xreserve_4258,WizBanJrAmpHourNETB,EndAmpsSocMBaddress,Aux1DelayT,VbattOffset,EndingAmpsTimerSec,Voc_Qualify_Timer_1ms_1,EqualizeTime,iFlagsROLow,xreserve_4219,Aux2VoltasHiAbs,xreserve_4194,xreserve_4195,xreserve_4196,NiteMinutesNoPwr,dateOnDevice,y9wbitAmpHourNetA,VpvOffset,BatteryOuputCurrentLimit,WizBangRxBufferTempSh4,WizBangRxBufferTempSh3,WizBangRxBufferTempSh2,WizBangRxBufferTempSh1,AntiClickSenstvt,y3unit_sw_date_month_day,xreserve_4170,zyEndingAmps,Aux1VoltasLoAbs,RebulkTimerSec,Aux1HoldT,RestartTimers,xreserve_4105,WizBanJrCurrent32Signed,NegativeCurrerntAdj,LogValueRead,PvInputCurrent,RestartTimerms,VocLastMeasured,MinVpvTurOn,WizBanJrRawCurrent,LifetimeKwHours1,LifetimeKwHours2,_id,ip2,ip1,xreserve_4281,VpvTargetRd,yEndingSoc,ArcFaultSensitvty,VpvB4TurnOff,SweepIntervaSecs,kWHours,xreserve_4242,RebulkVolts,SweepDepth,VpvTargetWr,SlidingCurrentLimit,FloatTimeTodaySeconds,xreserve_4171,y7unit_sw_mac2,Aux12,zUI_InWatts_Watts,Aux2VoltsHiRel,yVbattRegSetPtTmpComp,EquilizeVoltageSetPOint,AbosrbTime,Aux1VoltsHiAbs,IpvMinusRawPVNegativeCurrent,NoDoubleClickTimer,xreserve_4208,MinSwpVoltage,WizBanJrAmpHourNETA,xreserve_4206,CTime1a,HighestVinputLog,MaximumBatteryTemperatureCompensationVoltage,MinuteLogIntervalSec,xreserve_4144,EnableFlags2,EnableFlags3,MppWLast,LEDmode,WizBanJrAmpHourPOSitiveA,Aux2VoltsLoRel,xreserve_4270,InfoFlagBits2,InfoFlagBits1,flagsRDA,flagsRDB,y4InfoFlagsBits,modbus_Port_registry,WizBanJrCmdS,SietstaAbortVocAdj,xreserve_4274,xreserve_4278,USBcommMODE,y1unit_id,xreserve_4273,Aux2PwmVwidth,WizBanJrAmpHourPOSitiveB,EnableFlagsBits,MinimumBatteryTemperatrueCompensationVoltage
0,19523,18771,21313,67,41,50,1281,2603,0,144,0,0,24605,12288,11,2015,0,0,1400,0,0,0,469,21,503,36,0,0,427,25,615,23,670,251,990,29412,0,11,664,62,0,32768,771,0,0,0,0,528,136,0,608,615,0,0,478,23,0,357,45202,0,2016-06-04T01:10:28.157Z,144,0,0,1400,180,12,618,40,3,0,65532,0,5,0,95,2,0,0,4242,353,32813,2959,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,3543,3600,142,65515,900,0,0,0,0,2016-07-05T01:10:43Z,0,0,960,0,0,0,0,50,2839,35,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002628,26370,6572,0,608,5,202,0,3,0,30741,80,10,1347,960,0,0,3840,20993,33,50,143,143,7200,600,0,4242,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,80,10,502,53,20,140,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2603,0,144,0,0,24605,12288,11,2015,0,0,1400,0,0,0,469,19,503,35,0,0,427,25,615,23,670,251,990,29412,0,11,664,64,0,32768,771,0,0,0,0,528,136,0,608,615,0,0,478,23,0,357,45202,0,2016-06-04T01:10:28.503Z,144,0,0,1400,180,12,616,40,3,0,65532,0,5,0,95,2,0,0,4242,354,32813,2959,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,3890,3600,142,65512,900,0,0,0,0,2016-07-05T01:10:43Z,0,0,960,0,0,0,0,50,2839,34,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002628,26370,6572,0,608,5,202,0,3,0,30741,80,10,1347,960,0,0,3840,20993,33,50,143,143,7200,600,0,4242,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,208,10,502,53,20,140,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2604,0,144,0,0,24605,12288,11,2015,0,0,1400,0,0,0,469,19,503,35,0,0,426,25,615,23,670,251,990,29412,0,11,664,64,0,32768,771,0,0,0,0,528,136,0,608,615,0,0,478,23,0,357,45202,0,2016-06-04T01:10:28.845Z,144,0,0,1400,180,12,616,40,3,0,65532,0,5,0,95,2,0,0,4242,354,32813,2958,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,4230,3600,142,65512,900,0,0,0,0,2016-07-05T01:10:44Z,0,0,960,0,0,0,0,50,2839,33,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002628,26370,6572,0,608,5,202,0,3,0,30741,80,10,1347,960,0,0,3840,20993,33,50,143,143,7200,600,0,4242,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,208,10,502,53,20,140,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2604,0,144,0,0,24605,12288,11,2015,0,0,1400,0,0,0,469,19,503,36,0,0,426,25,615,24,670,251,990,29412,0,11,664,65,0,32768,771,0,0,0,0,528,136,0,608,616,0,0,478,24,0,357,45203,0,2016-06-04T01:10:29.190Z,144,0,0,1400,180,12,616,40,3,0,65532,0,5,0,95,2,0,0,4243,354,32813,2958,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,4576,3600,142,65512,900,0,0,0,0,2016-07-05T01:10:44Z,0,0,960,0,0,0,0,50,2839,34,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002629,26370,6572,0,608,5,202,0,3,0,30742,80,10,1347,960,0,0,3840,20993,34,50,143,143,7200,600,0,4243,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,208,10,502,53,20,140,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2604,0,144,0,0,24605,12288,11,2015,0,0,1400,0,0,0,469,16,503,35,0,0,426,25,613,25,670,251,990,29412,0,11,664,66,0,32768,771,0,0,0,0,528,136,0,608,613,0,0,478,25,0,101,45203,0,2016-06-04T01:10:29.531Z,144,0,0,1400,180,12,612,40,3,0,65532,0,5,0,95,2,0,0,4243,356,32813,2958,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,4916,3600,142,65511,900,0,0,0,0,2016-07-05T01:10:44Z,0,0,960,0,0,0,0,50,2839,35,0,100,0,10,1,0,0,8,0,7,1,668,172,0,21,0,1465002629,26370,6572,0,608,5,202,0,3,0,30742,80,10,1347,960,0,0,3840,20993,36,50,143,143,7200,600,0,4243,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,208,10,502,53,20,142,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2605,0,144,0,0,24605,18400,11,2015,0,0,1400,0,0,0,469,17,503,36,0,0,426,25,614,24,670,251,990,29412,0,11,664,64,0,32768,771,0,0,0,0,528,136,0,608,614,0,0,478,24,0,357,45203,0,2016-06-04T01:10:29.871Z,144,0,0,1400,180,12,616,40,3,0,65532,0,5,0,95,2,0,0,4243,355,32813,2957,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,5256,3600,142,65514,900,0,0,0,0,2016-07-05T01:10:45Z,0,0,960,0,0,0,0,50,2839,35,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002629,26370,6572,0,608,5,202,0,3,0,30742,80,10,1347,960,0,0,3840,20993,34,50,143,143,7200,600,0,4243,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,208,10,502,53,20,138,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,2605,0,144,0,0,24605,18400,11,2015,0,0,1400,0,0,0,469,17,503,35,0,0,426,25,614,24,670,251,990,29412,0,11,664,66,0,32768,772,0,0,0,0,528,136,0,608,614,0,0,478,24,0,357,45204,0,2016-06-04T01:10:30.223Z,144,0,0,1400,180,12,612,40,3,0,65532,0,5,0,95,2,0,0,4244,357,32813,2957,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,5608,3600,142,65510,900,0,0,0,0,2016-07-05T01:10:45Z,0,0,960,0,0,0,0,50,2839,34,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002630,26370,6572,0,608,5,202,0,3,0,30743,80,10,1347,960,0,0,3840,20993,34,50,143,143,7200,600,0,4244,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,144,10,502,53,20,142,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,3351,0,144,0,0,24605,24589,11,2015,0,0,1400,0,0,0,471,18,503,35,0,0,427,25,611,24,670,251,990,29412,0,11,664,64,0,32768,771,0,0,0,0,528,136,0,608,611,0,0,478,24,0,357,45361,0,2016-06-04T01:13:07.791Z,143,0,0,1400,180,12,612,40,3,0,65532,0,5,0,95,3,0,0,4401,357,32813,2799,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,32015,3600,142,65512,900,0,0,0,0,2016-07-05T01:13:23Z,0,0,960,0,0,0,0,50,2839,35,0,100,0,10,1,0,0,8,0,7,1,668,172,0,21,0,1465002787,26370,6572,0,608,5,202,0,3,0,30900,80,10,1347,960,0,0,3840,20993,34,50,143,143,7200,600,0,4401,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,16,10,502,53,20,140,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,3351,0,144,0,0,24605,24589,11,2015,0,0,1400,0,0,0,471,18,503,35,0,0,427,25,612,24,670,251,990,29412,0,11,664,64,0,32768,771,0,0,0,0,528,136,0,608,612,0,0,478,24,0,357,45361,0,2016-06-04T01:13:08.130Z,143,0,0,1400,180,12,612,40,3,0,65532,0,5,0,95,3,0,0,4401,356,32813,2799,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,32354,3600,142,65511,900,0,0,0,0,2016-07-05T01:13:23Z,0,0,960,0,0,0,0,50,2839,35,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002788,26370,6572,0,608,5,202,0,3,0,30900,80,10,1347,960,0,0,3840,20993,34,50,143,143,7200,600,0,4401,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,16,10,502,53,20,142,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1281,3351,0,144,0,0,24605,24589,11,2015,0,0,1400,0,0,0,471,21,503,36,0,0,426,25,613,22,670,251,990,29412,0,11,664,63,0,32768,771,0,0,0,0,528,136,0,608,613,0,0,478,22,0,357,45362,0,2016-06-04T01:13:08.472Z,143,0,0,1400,180,12,614,40,3,0,65532,0,5,0,95,3,0,0,4402,355,32813,2799,2016,0,1200,41,658,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,32696,3600,142,65514,900,0,0,0,0,2016-07-05T01:13:23Z,0,0,960,0,0,0,0,50,2839,33,0,100,0,10,1,0,0,8,0,6,1,668,172,0,21,0,1465002788,26370,6572,0,608,5,202,0,3,0,30901,80,10,1347,960,0,0,3840,20993,31,50,143,143,7200,600,0,4402,608,100,0,0,1797,1458,146,300,0,18624,0,25,1,0,65516,0,45568,12292,9344,16,10,502,53,20,140,150,0,1174,0,1,0,65,132
