dateOnPi,zUI_FETtemperature,zUI_InWatts_Watts,tempId,zUI_InV_dispavgVpv,zUI_PVVoltsIn_OutputVbatt,CTime2,CTimeID,zUI_BaTTtemperature,CTime1r1,CTime1r0,zUI_PCBtemperature,CTime0r0,CTime0r1
2016-05-30T03:05:39.513Z,0,0,1464577539.514172,0,0,0,CTimeFixMe-2016-05-30T03:05:39Z,0,0,0,0,0,0
2016-05-30T03:05:43.962Z,0,0,1464577543.962779,0,0,0,CTimeFixMe-2016-05-30T03:05:43Z,0,0,0,0,0,0
