_id,dateOnPi,CTime2,CTime1r1,CTime1r0,CTime0r0,CTime0r1
1464583069,2016-05-30T04:37:49.915Z,0,0,0,0,0
1464583071,2016-05-30T04:37:51.285Z,0,0,0,0,0
1464583072,2016-05-30T04:37:52.411Z,0,0,0,0,0
1464583073,2016-05-30T04:37:53.460Z,0,0,0,0,0
1464583074,2016-05-30T04:37:54.325Z,0,0,0,0,0
1464583075,2016-05-30T04:37:54.325Z,0,0,0,0,0
